municipio_nao_tratado,uf,municipio
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Go-Santo Antonio do Descoberto,GO,Santo Antônio do Descoberto
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Sp-Sao Paulo,SP,São Paulo
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Ba-Salvador,BA,Salvador
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Rj-Rio de Janeiro,RJ,Rio de Janeiro
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Go-Goiania,GO,Goiânia
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Go-Goiania,GO,Goiânia
Go-Goiania,GO,Goiânia
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Rj-Rio de Janeiro,RJ,Rio de Janeiro
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Go-Valparaiso de Goias,GO,Valparaíso de Goiás
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Go-Aparecida de Goiania,GO,Aparecida de Goiânia
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Go-Formosa,GO,Formosa
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Mg-Belo Horizonte,MG,Belo Horizonte
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Sp-Osasco,SP,Osasco
Df-Brasilia,DF,Brasília
Sp-Osasco,SP,Osasco
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Pe-Jaboatao dos Guararapes,PE,Jaboatão dos Guararapes
Pe-Jaboatao dos Guararapes,PE,Jaboatão dos Guararapes
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Ap-Macapa,AP,Macapá
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Mg-Paracatu,MG,Paracatu
Mg-Belo Horizonte,MG,Belo Horizonte
Mg-Paracatu,MG,Paracatu
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Sp-Sao Paulo,SP,São Paulo
Df-Brasilia,DF,Brasília
Sp-Sao Paulo,SP,São Paulo
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Sc-Sao Jose,SC,São José
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Sp-Sao Paulo,SP,São Paulo
Df-Brasilia,DF,Brasília
Go-Cristalina,GO,Cristalina
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Mg-Belo Horizonte,MG,Belo Horizonte
Mg-Belo Horizonte,MG,Belo Horizonte
Mg-Uberlandia,MG,Uberlândia
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Pr-Curitiba,PR,Curitiba
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Ba-Salvador,BA,Salvador
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Go-Formosa,GO,Formosa
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Go-Planaltina,GO,Planaltina
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Go-Formosa,GO,Formosa
Df-Brasilia,DF,Brasília
Df-Brasilia,DF,Brasília
Sp-Sao Jose dos Campos,SP,São José dos Campos
Pe-Jaboatao dos Guararapes,PE,Jaboatão dos Guararapes
Sc-Florianopolis,SC,Florianópolis
Df-Brasilia,DF,Brasília
