vl_remun_media_nom,vl_remun_media_sm,vl_remun_dezembro_nom,vl_remun_dezembro_sm,qtd_hora_contr,vl_ultima_remuneracao_ano,vl_salario_contratual
1232.17,1.23,1198.87,1.2,44,1198.87,1198.87
1543.25,1.54,1757.47,1.76,44,1757.47,1652.55
3137.29,3.13,2433.7,2.43,40,2433.7,1559.67
1560.9,1.56,1621.5,1.62,44,1621.5,11.5
10651.68,10.66,10709.96,10.73,40,10709.96,5512.54
3007.03,3.01,2925.76,2.93,44,2925.76,2925.76
3356.72,3.35,5651.42,5.66,40,5651.42,3202.74
0.0,0.0,0.0,0.0,44,,11.92
7114.98,7.12,7214.65,7.22,40,7214.65,16.0
7087.45,7.09,10063.44,10.08,40,10063.44,6708.96
2681.93,2.68,0.0,0.0,44,2687.08,1904.06
1433.66,1.43,1356.8,1.35,44,1356.8,1356.8
1734.54,1.73,1740.0,1.74,44,1740.0,60.0
1734.54,1.73,1740.0,1.74,44,1740.0,60.0
1734.54,1.73,1740.0,1.74,44,1740.0,60.0
5768.59,5.77,4869.7,4.87,40,4869.7,3081.48
3783.4,3.78,3749.2,3.75,44,3749.2,3749.2
3010.36,3.01,3020.84,3.02,20,3020.84,2151.6
3166.67,3.16,2849.53,2.85,44,2849.53,0.0
0.0,0.0,0.0,0.0,44,,10.45
1197.6,1.2,1197.6,1.2,44,1197.6,9.98
13429.02,13.44,12763.01,12.78,40,12763.01,12763.01
1238.11,1.24,1238.11,1.24,44,1238.11,1238.11
6996.82,7.0,7001.35,7.01,40,7001.35,3554.59
6716.47,6.72,6991.47,7.0,40,6991.47,7432.88
1498.53,1.49,0.0,0.0,38,1721.89,13.24
2055.76,2.05,2121.76,2.12,36,2121.76,17.51
1276.89,1.27,0.0,0.0,40,1276.89,1276.89
2011.31,2.01,1896.22,1.9,44,1896.22,1774.49
7086.94,7.09,6910.32,6.92,40,6910.32,6358.32
1179.12,1.17,0.0,0.0,44,608.12,1178.23
1513.52,1.51,0.0,0.0,44,815.22,11.7
1450.46,1.45,1450.46,1.45,40,1450.46,1450.46
1443.86,1.44,0.0,0.0,40,1015.32,1450.46
1291.19,1.28,1282.27,1.28,36,1282.27,1282.27
6056.57,6.06,6190.13,6.2,40,6190.13,4518.35
3515.84,3.51,0.0,0.0,44,4343.86,2509.1
1267.11,1.26,1267.11,1.26,36,591.32,1267.12
4014.09,4.01,4979.04,4.98,36,4979.04,2887.71
1782.77,1.78,1760.09,1.76,36,1760.09,1746.2
4038.86,4.04,0.0,0.0,44,4308.14,3311.88
1782.77,1.78,1760.09,1.76,36,1760.09,1746.2
4038.86,4.04,0.0,0.0,44,4308.14,3311.88
1782.77,1.78,1760.09,1.76,36,1760.09,1746.2
4038.86,4.04,0.0,0.0,44,4308.14,3311.88
1782.77,1.78,1760.09,1.76,36,1760.09,1746.2
4038.86,4.04,0.0,0.0,44,4308.14,3311.88
6534.92,6.54,12495.81,12.52,40,12495.81,4126.08
1520.68,1.51,1550.56,1.55,44,1550.56,1407.66
1520.68,1.51,1550.56,1.55,44,1550.56,1407.66
2396.3,2.39,3035.86,3.04,36,3035.86,1819.82
1956.91,1.95,1863.73,1.86,28,1863.73,19.28
1232.16,1.23,1198.87,1.2,44,1198.87,1198.86
1318.73,1.32,0.0,0.0,0,1337.46,13.0
1286.96,1.28,1055.93,1.05,30,1055.93,1267.12
2676.73,2.67,0.0,0.0,44,2757.09,2308.56
2668.16,2.67,2668.16,2.67,44,2668.16,2425.6
0.0,0.0,0.0,0.0,44,,1588.14
3091.8,3.09,3550.46,3.55,21,3550.46,0.0
5087.0,5.09,5287.57,5.29,30,3348.8,4.62
1971.04,1.96,1960.54,1.96,44,1960.54,9.98
3675.05,3.67,2646.9,2.65,24,2646.9,15.3
2024.12,2.02,1996.4,2.0,44,1996.4,1996.4
1047.1,1.04,1225.46,1.22,24,1225.46,1225.46
998.0,1.0,0.0,0.0,44,632.07,9.98
0.0,0.0,0.0,0.0,40,,288.9
2131.2,2.13,2507.31,2.51,44,2507.31,2129.91
2131.2,2.13,2507.31,2.51,44,2507.31,2129.91
3571.03,3.57,3473.22,3.48,44,3473.22,1679.54
0.0,0.0,0.0,0.0,44,,940.52
5907.59,5.91,5989.97,6.0,40,5989.97,4437.02
1209.09,1.21,1324.05,1.32,44,1324.05,10.28
1320.78,1.31,1333.0,1.33,44,1333.0,11.5
7958.64,7.97,8174.03,8.19,40,8174.03,8174.03
6697.11,6.7,6233.39,6.24,40,6233.39,6233.39
12534.05,12.55,12272.12,12.29,40,12272.12,12272.12
2203.05,2.2,0.0,0.0,44,283.98,2029.84
2145.0,2.14,0.0,0.0,44,2145.0,20.62
1676.14,1.67,1683.2,1.68,44,1683.2,11.5
1332.68,1.33,1304.45,1.3,44,1304.45,10.8
1117.25,1.11,1117.25,1.11,44,1117.25,1117.25
492.9,0.48,0.0,0.0,20,174.9,4.77
2006.38,2.01,2006.11,2.01,44,2006.11,2006.11
2173.28,2.17,0.0,0.0,44,2244.71,1934.53
1275.55,1.27,699.07,0.7,44,699.07,1387.39
1199.58,1.19,0.0,0.0,44,607.41,1214.82
4194.24,4.19,4260.08,4.26,40,4260.08,2745.24
0.0,0.0,0.0,0.0,44,,1639.7
1619.94,1.62,0.0,0.0,30,1600.0,16.0
0.0,0.0,0.0,0.0,44,,2038.62
3412.16,3.41,2763.49,2.76,44,2763.49,1383.54
5049.0,5.05,5049.0,5.05,40,5049.0,50.49
2500.0,2.5,0.0,0.0,44,2500.0,25.0
3000.0,3.0,0.0,0.0,44,800.0,30.0
5587.38,5.59,5277.78,5.28,44,5277.78,50.0
2705.43,2.7,3116.31,3.12,44,1038.77,25.0
3500.0,3.5,3500.0,3.5,44,1750.0,35.0
2808.79,2.81,0.0,0.0,44,1420.93,2060.62
6389.26,6.39,0.0,0.0,44,6504.96,2060.62
6569.67,6.57,6707.53,6.72,40,6707.53,4518.35
1614.17,1.61,0.0,0.0,12,1195.69,1147.86
1614.17,1.61,0.0,0.0,12,1195.69,1147.86
1614.17,1.61,0.0,0.0,12,1195.69,1147.86
1020.85,1.02,1033.7,1.03,38,1033.7,1033.7
5358.8,5.36,6049.35,6.06,40,6049.35,3081.48
0.0,0.0,0.0,0.0,44,127.34,1910.03
2124.78,2.12,2124.78,2.12,44,2124.78,2124.78
1781.68,1.77,0.0,0.0,40,1746.0,21.0
2194.5,2.19,2163.0,2.16,40,2163.0,21.0
2100.0,2.1,0.0,0.0,40,2100.0,21.0
1123.33,1.12,647.49,0.64,44,647.49,1180.72
1123.33,1.12,647.49,0.64,44,647.49,1180.72
1123.33,1.12,647.49,0.64,44,647.49,1180.72
1261.41,1.26,1175.97,1.17,44,1175.97,1069.06
1054.08,1.05,0.0,0.0,44,790.42,1077.84
1584.96,1.58,1609.78,1.61,44,1609.78,1407.41
1054.08,1.05,0.0,0.0,44,790.42,1077.84
1584.96,1.58,1609.78,1.61,44,1609.78,1407.41
7799.81,7.81,7896.82,7.91,40,7896.82,3081.48
5404.85,5.41,5923.02,5.93,40,5923.02,4324.13
2261.44,2.26,2285.34,2.28,44,2285.34,1340.64
1408.78,1.4,1417.0,1.41,44,1417.0,1217.4
1408.78,1.4,1417.0,1.41,44,1417.0,1217.4
2204.58,2.2,2145.0,2.14,44,2145.0,21.45
3379.13,3.37,3305.12,3.31,40,3305.12,3305.12
3476.31,3.47,3462.9,3.46,36,692.58,23.29
1781.34,1.78,1770.0,1.77,36,1770.0,17.7
1461.51,1.46,0.0,0.0,44,1948.15,11.15
1020.0,1.02,1020.0,1.02,44,1020.0,10.2
1466.21,1.46,0.0,0.0,44,1515.21,1515.21
5855.81,5.86,5855.82,5.86,40,5855.82,5855.82
0.0,0.0,0.0,0.0,44,,5049.46
5199.45,5.2,5287.57,5.29,30,3348.8,4.62
7734.53,7.74,7898.06,7.91,20,7898.06,3620.81
1800.0,1.8,1800.0,1.8,44,1800.0,18.0
3254.7,3.26,0.0,0.0,44,3613.71,1268.34
1820.94,1.82,0.0,0.0,44,2528.53,2397.74
1568.36,1.56,1795.56,1.79,25,1795.56,1553.85
2207.83,2.2,2145.0,2.14,44,2145.0,20.62
1800.0,1.8,1800.0,1.8,44,1800.0,1584.4
2713.49,2.71,3050.84,3.05,18,3050.84,23.06
2224.56,2.22,2135.64,2.13,24,2135.64,1982.54
1879.36,1.87,1742.83,1.74,7,1742.83,1396.5
5157.81,5.16,5267.35,5.27,40,5267.35,4051.81
4653.87,4.66,0.0,0.0,30,4155.68,4.62
3866.4,3.86,4029.87,4.03,36,4029.87,2829.08
3866.32,3.87,0.0,0.0,44,4057.46,2728.14
3866.4,3.86,4029.87,4.03,36,4029.87,2829.08
3866.32,3.87,0.0,0.0,44,4057.46,2728.14
1656.1,1.65,1740.0,1.74,44,1740.0,17.4
5202.81,5.21,0.0,0.0,44,5066.69,4413.06
4966.88,4.96,5249.45,5.25,44,5249.45,4849.75
1792.65,1.79,1818.65,1.82,44,1818.65,1714.25
3290.0,3.29,0.0,0.0,44,3282.47,32.0
1311.56,1.3,1251.56,1.25,44,1251.56,1126.59
0.0,0.0,0.0,0.0,44,,0.0
1371.06,1.36,1507.62,1.51,44,1507.62,1370.57
0.0,0.0,0.0,0.0,44,,1077.85
998.0,1.0,998.0,1.0,40,998.0,969.54
5097.09,5.1,5213.23,5.22,40,5213.23,2907.06
3612.54,3.61,3229.46,3.23,30,3229.46,2401.76
3892.2,3.89,0.0,0.0,40,3377.17,3304.88
5604.64,5.61,5712.96,5.72,30,5712.96,4.62
2270.41,2.26,2489.42,2.49,44,2489.42,1876.48
1516.85,1.51,1891.31,1.89,36,1891.31,1716.4
3202.33,3.2,3390.8,3.39,36,3390.8,3133.42
5161.24,5.16,5287.57,5.29,30,3348.8,4.62
2638.42,2.64,3368.19,3.37,44,3368.19,2526.14
2638.42,2.64,3368.19,3.37,44,3368.19,2526.14
3001.2,3.0,3011.2,3.01,44,3011.2,3011.2
2455.53,2.45,2428.34,2.43,44,2428.34,1780.71
1190.47,1.18,1160.73,1.16,44,1160.73,1124.46
1211.93,1.21,1337.16,1.33,44,1337.16,11.0
1847.3,1.84,0.0,0.0,44,1985.64,12.0
2707.54,2.7,3065.68,3.07,44,3065.68,22.38
2121.48,2.12,0.0,0.0,44,2213.21,19.55
2428.46,2.43,0.0,0.0,44,1968.68,19.55
1493.38,1.49,0.0,0.0,44,1493.86,1492.91
1862.8,1.86,1838.81,1.84,44,1838.81,1639.21
1229.39,1.22,1383.87,1.38,44,1383.87,1180.73
3831.27,3.83,3847.96,3.85,40,3847.96,3847.96
1230.34,1.22,456.54,0.45,44,456.54,1180.73
3602.86,3.6,4406.82,4.41,40,4406.82,3305.12
1430.78,1.42,0.0,0.0,38,1376.13,1175.02
1800.0,1.8,1800.0,1.8,44,1800.0,18.0
1613.86,1.61,0.0,0.0,44,1632.0,16.32
1800.0,1.8,1800.0,1.8,44,1800.0,18.0
1613.86,1.61,0.0,0.0,44,1632.0,16.32
1247.45,1.24,1280.81,1.28,44,1280.81,621.3
1442.73,1.44,1467.35,1.47,36,1467.35,1379.66
1634.3,1.63,2241.75,2.24,40,2241.75,2241.75
1634.3,1.63,2241.75,2.24,40,2241.75,2241.75
6434.53,6.44,6449.94,6.46,40,6449.94,3081.48
1462.75,1.45,1284.37,1.28,44,1284.37,1284.37
2228.9,2.22,2468.6,2.47,44,2468.6,19.95
2114.33,2.11,2211.82,2.21,44,2211.82,2073.86
19488.7,19.52,17549.09,17.58,40,17549.09,17549.09
19488.7,19.52,17549.09,17.58,40,17549.09,17549.09
1208.11,1.2,2512.41,2.51,20,2512.41,1102.82
1333.56,1.33,1477.34,1.48,30,1477.34,1346.06
2066.97,2.06,2101.47,2.1,44,2101.47,22.0
